Country1,Country2
Germany,Russia
Germany,Italy
Germany,United States
Austria,Germany
United Kingdom,France
United Kingdom,Poland
France,Poland
Germany,Poland
Germany,Soviet Union
Germany,United Kingdom
Germany,France
Poland,Soviet Union
Poland,United Kingdom
Poland,France
Soviet Union,United Kingdom
Soviet Union,France
United Kingdom,France
Germany,Poland
Germany,Soviet Union
Poland,Soviet Union
Germany,Soviet Union
Norway,Denmark
Sweden,Germany
Sweden,Norway
Germany,Norway
Netherlands,Belgium
France,Belgium
United Kingdom,Italy
United Kingdom,Soviet Union
Germany,Japan
Germany,United States
Japan,United States
Russia,Japan
Russia,United States
Japan,United States
Germany,Italy
Germany,United States
Italy,United States
United Kingdom,Soviet Union
United Kingdom,United States
Soviet Union,United States
Germany,United Kingdom
Germany,France
Germany,United States
United Kingdom,France
United Kingdom,United States
France,United States
Germany,Poland
China,Japan
China,Japan
Germany,Japan
Germany,United States
Japan,United States
India,Japan
India,United States
Japan,United States
China,Japan
Poland,Soviet Union
United Kingdom,United States
Soviet Union,United States
Russia,United States
Russia,Soviet Union
Russia,India
Russia,United Kingdom
Russia,France
Russia,China
United States,Soviet Union
United States,India
United States,United Kingdom
United States,France
United States,China
Soviet Union,India
Soviet Union,United Kingdom
Soviet Union,France
Soviet Union,China
India,United Kingdom
India,France
India,China
United Kingdom,France
United Kingdom,China
France,China
Soviet Union,United States
Germany,France
Germany,Soviet Union
Germany,United States
France,Soviet Union
France,United States
Soviet Union,United States
Japan,United States
India,United States
Soviet Union,United States
Finland,Soviet Union
Hungary,Poland
Canada,Australia
Canada,United States
Australia,United States
Soviet Union,United States
Soviet Union,United States
Japan,Russia
Japan,United States
Russia,United States
Soviet Union,Russia
India,China
Finland,Russia
Germany,Finland
Germany,Norway
Germany,United States
Italy,Japan
Japan,United States
